,Pressure (bars),H2,He,H2O,CH4,NH3,N2,C2H6,CO2,CH3NH2,CO
55,0.0011142428752325111,0.6577194007499999,0.17148726272,0.10724012551,0.049117043154,0.014344518696,6.8802403726e-05,4.0130638282999996e-16,2.6016182067e-19,4.0266305615e-23,4.5458958411e-24
56,0.000984665202794123,0.65777514144,0.17147591302,0.10723302839,0.049113792895,0.014277396168999998,0.00010188451166,4.4847604619e-16,4.4025323413e-19,4.7499496113e-23,8.2550900348e-24
57,0.0008701563933188907,0.65785637853,0.17145937186,0.107222685,0.049109055933,0.014179571006999998,0.0001500987661,5.0071012125e-16,7.436119766799999e-19,5.5831754882e-23,1.4955356802e-23
58,0.0007689640567018716,0.65797329053,0.17143556675,0.10720779938,0.049102238754,0.014038786167,0.0002194861907,5.5847612454e-16,1.2530015369e-18,6.533031785e-23,2.701691287e-23
59,0.0006795395920083764,0.6581389732,0.17140183122,0.10718670417,0.049092577733,0.01383927152,0.00031781927436,6.2226612181e-16,2.1064270487e-18,7.6005599287e-23,4.8672648975e-23
60,0.0006005144883981762,0.65836856146,0.17135508364999996,0.10715747242,0.049079190337000006,0.013562801064,0.0004540809112,6.9259550637e-16,3.5307640316e-18,8.7780451286e-23,8.7398287824e-23
61,0.000530679382065612,0.6586782487,0.17129202702,0.10711804244,0.049061132285,0.013189873500000001,0.00063788253868,7.7000216484e-16,5.901422183400001e-18,1.0045266875e-22,1.5644061414e-22
62,0.0004689655486926548,0.65908216122,0.17120978534,0.10706661575,0.049037579795,0.012703475814,0.0008776092122000001,8.550533404299999e-16,9.8358324686e-18,1.1367422885e-22,2.7915453256e-22
63,0.00041442854818394187,0.65956985774,0.17111048508,0.10700452188,0.049009141598,0.012116178792,0.0011670652717,9.3940401822e-16,1.5964840376e-17,1.2535764484e-22,4.8204730459e-22
64,0.00036623377139033723,0.66017336129,0.17098760671,0.10692768371,0.048973950223,0.011389415734,0.0015252587489,1.0407727764e-15,2.6461403806e-17,1.3805473669e-22,8.5503496345e-22
65,0.00032364366763473594,0.6608157086,0.17085682119,0.10684590024,0.048936493386,0.01061586599,0.0019065115617,1.1304813554e-15,4.1731433956e-17,1.4628575719e-22,1.4253983583e-21
66,0.00028600645757603945,0.66151550217,0.17071434129,0.10675680297,0.048895686241,0.0097731261105,0.002321865502,1.2270101382e-15,6.5672783939e-17,1.5295416938e-22,2.3707238611e-21
67,0.0002527461586781727,0.66222421983,0.17057004638,0.10666656966,0.04885435823,0.0089196295996,0.002742520951,1.3186960213e-15,1.0086997001e-16,1.5617882035000003e-22,3.8246389293e-21
68,0.00022335377063851234,0.66291410361,0.17042958773,0.10657873437999998,0.048814128083,0.0080888064174,0.0031520015758,1.4036777195e-15,1.510637729e-16,1.5613859179e-22,5.9792063065000004e-21
69,0.00019737948588157686,0.66354514135,0.17030111125,0.10649839139,0.048777329198,0.0073288453622999995,0.0035265569858,1.4666454757e-15,2.1611237509000002e-16,1.5157363489e-22,8.8226030943e-21
70,0.00017442580591096613,0.66415670081,0.17017660144,0.10642052842,0.048741665947,0.0065923376514,0.0038895531401,1.5323157271e-15,3.0920341119e-16,1.4605235121e-22,1.3017522188e-20
71,0.00015414145817536454,0.664691127,0.17006779617,0.10635248601,0.048710500583,0.0059487194701,0.0042067676332,1.5719771336e-15,4.2240779698e-16,1.3726976971999998e-22,1.8122228224e-20
72,0.00013621602035512732,0.66519417006,0.16996538074,0.1062884393,0.048681165231,0.0053428944909,0.0045053553154,1.6127726737e-15,5.7683973344e-16,1.2841329902e-22,2.5216095737e-20
73,0.00012037516980200683,0.66562186637,0.16987830559,0.10623398566000002,0.048656223715,0.0048278099354,0.0047592205527,1.6249367097000003e-15,7.5234334494e-16,1.175342192e-22,3.3117275087e-20
74,0.0001063764854316313,0.66600190727,0.16980093284,0.10618559946,0.048634061226,0.0043701171559,0.0049847996038,1.6225303638999998e-15,9.5984402331e-16,1.0628243296e-22,4.2294599961e-20
75,9.400573782282984e-05,0.66633742134,0.16973262545,0.10614288237,0.04861449534,0.0039660487291,0.0051839492868,1.6055987464e-15,1.1975473933e-15,9.5027761404e-23,5.2511727973e-20
76,8.307361074919351e-05,0.66661510753,0.16967609133,0.10610752785,0.048598301739,0.003631623733,0.0053487744188,1.5602275951e-15,1.4269977926e-15,8.3367253056e-23,6.1540311627e-20
77,7.341280397070116e-05,0.6668733412800001,0.16962351757000002,0.10607464999,0.04858324252099999,0.0033206257065000002,0.0055020533043,1.5161693649e-15,1.7001769301e-15,7.3030179042e-23,7.2104898602e-20
78,6.487547294786288e-05,0.6671126933,0.16957478797,0.10604417613000001,0.048569284408000006,0.0030323674113,0.0056441246568,1.4733816956e-15,2.0253266458e-15,6.3890584923e-23,8.446214145999999e-20
79,5.733096629695033e-05,0.66733451608,0.16952962716,0.10601593407999998,0.048556348533,0.0027652200474,0.0057757912486,1.4318194286e-15,2.4136737533e-15,5.5813653012e-23,9.8970458238e-20
80,5.0663826361366494e-05,0.66751443664,0.16949299722,0.10599302694,0.048545856237,0.0025485367206,0.0058825860705,1.365978711e-15,2.7456567277e-15,4.7903447467e-23,1.0939115083e-19
81,4.4772022300821296e-05,0.6676930373,0.16945663600000002,0.10597028786,0.048535440913,0.0023334430014,0.0059885974365,1.3151668631e-15,3.1956930565e-15,4.14198967e-23,1.244276687e-19
82,3.956538865832268e-05,0.66784706811,0.16942527695,0.10595067697,0.048526458411,0.0021479394676,0.0060800249459,1.2544630265000002e-15,3.6320171042e-15,3.5492783708e-23,1.3737212268e-19
83,3.4964245509531364e-05,0.66799040658,0.16939609474,0.10593242741000002,0.048518099447,0.001975313042,0.0061651058273,1.1964220844e-15,4.1300357572e-15,3.037853201e-23,1.5172117255e-19
84,3.08981790778802e-05,0.66810380881,0.16937300724,0.10591798928,0.048511486254,0.0018387396866,0.0062324175464,1.1197306866e-15,4.4746771564e-15,2.5568918631000004e-23,1.5774467207e-19
85,2.7304964154553252e-05,0.66821901974,0.16934955151,0.10590332087,0.048504767585,0.0016999880939,0.0063008028345,1.0575820772e-15,4.9652317186e-15,2.1675008572e-23,1.6894324763e-19
86,2.412961183253612e-05,0.66832540314,0.16932789296,0.10588977636,0.048498563705,0.0015718677646,0.0063639483845,9.9868594158e-16,5.5020650583e-15,1.8369850678e-23,1.8065898242e-19
87,2.1323527981697637e-05,0.66842452357,0.16930771308,0.10587715656,0.048492783375,0.0014524944378,0.0064227828757,9.428766002400002e-16,6.0984976018999995e-15,1.5553654111e-23,1.9320343449000003e-19
88,1.8843769586593097e-05,0.6685091059,0.16929049300000001,0.10586638773,0.048487850854,0.0013506297648999998,0.0064729880292,8.8154045392e-16,6.593730745e-15,1.3055437332e-23,2.0029534039e-19
89,1.6652387566325318e-05,0.66858776466,0.1692744789,0.10585637307,0.048483263773,0.0012558990151,0.0065196771484,8.2394833479e-16,7.1226491378e-15,1.0953127016e-23,2.0741064661e-19
90,1.4715846019280558e-05,0.66866063127,0.16925964402,0.10584709586,0.048479014469,0.0011681439197,0.006562928237600001,7.69886669e-16,7.6826252367e-15,9.1875020271e-24,2.1441279434e-19
91,1.3004509005128978e-05,0.6687234559,0.16924685357,0.10583909717,0.048475350776,0.0010924826586,0.0066002187441,7.1220358234e-16,8.0976699897e-15,7.6309266843e-24,2.1521884836e-19
92,1.1492187010036997e-05,0.66878150617,0.16923503514,0.10583170634,0.048471965506,0.00102257128,0.0066346753561,6.5857136594e-16,8.5131286084e-15,6.339208918399999e-24,2.1540788873e-19
93,1.0155736154404181e-05,0.66883541672,0.16922405951,0.10582484256999998,0.04846882164900001,0.0009576454883,0.0066666747655,6.0872368221e-16,8.9326181762e-15,5.2654912027e-24,2.1511767024e-19
94,8.974704009584349e-06,0.6688865356,0.16921365223,0.10581833422999999,0.048465840592,0.00089608178655,0.0066970171308,5.6240907092e-16,9.3816483549e-15,4.3670107603e-24,2.1496841145e-19
95,7.931016603333059e-06,0.66893404321,0.16920398017,0.10581228568,0.04846307013,0.0008388672336900002,0.0067252159691,5.1939642291e-16,9.835998513e-15,3.6211007605e-24,2.1437957573e-19
96,7.008701824056906e-06,0.66898278412,0.16919405702,0.10580608009999999,0.048460227748,0.0007801673866799999,0.0067541468513,4.8427733027e-16,1.0561574572e-14,3.0267664542e-24,2.2028496149e-19
97,6.193644990970618e-06,0.66903219513,0.16918399745,0.1057997892,0.048457346288,0.00072066054783,0.0067834754687,4.5593331214e-16,1.1621464175e-14,2.5503265021e-24,2.333834088e-19
98,5.47337284952015e-06,0.66908545581,0.16917315412,0.10579300818,0.048454240331,0.00065651746667,0.0068150891104,4.3786861446e-16,1.3447011374e-14,2.1846184464e-24,2.6330206584e-19
